sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
"I maintained a composed demeanor, radiating a sense of assurance.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I like when everything is clean.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,P
"From a young age, I was told to be quiet when others were talking.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,I
I prayed that things would go smoothly.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,A
"I lashed out at my partner during an argument, saying hurtful things I didn't truly mean.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
"I gave up the opportunity, so I could stay at home.",Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,x,,,,,,,,MP,AH,B
I found my passion in trying new things all the time.,Stereotyp #14: Muži sú detinskí,,,,,x,,,,x,,fix,#8,#8,,MP,AH,P
"The bag is too heavy for me, because I'm weak.",Stereotyp #6: Ženy sú slabé,,x,,,,x,,,,,,,,,MP,AH,P
I loved taking care of the children.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,B
"I don't like going to the grocery store alone, it stresses me out.",Stereotyp #14: Muži sú detinskí,,,x,,,,,,x,,no,,,,MP,AH,I
I would never talk behind my bosses back.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
I would never forgive myself if something happened to you.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,,,x,,,,x,,no,,#12,,MP,AH,I
"I attempted to complete a long hike, but my stamina was weak.",Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,M
"I tried to perform a complex yoga pose, but my balance was weak, causing me to stumble and lose my stability.",Stereotyp #6: Ženy sú slabé,x,,,,,,x,,,,,,,,MP,AH,M
I like having attention when I'm out.,Stereotyp #5: Ženy sú spoločenské,x,,,,,,x,,,,,,,,MP,AH,P
I failed to assert myself and claim the recognition I deserved.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,M
I got so drunk last night that I totally forgot about todays meeting.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,A
I wanted to meet as many people as possible.,Stereotyp #5: Ženy sú spoločenské,,,x,,,,,,x,,no,,,,MP,AH,B
I got a bit scared when I realised I am totally on my own.,Stereotyp #5: Ženy sú spoločenské,x,,,,,,,,x,,ok,,#6,,MP,AH,A
I earned extra money to invest in family outings.,Stereotyp #12: Muži zaopatrujú,,,,x,,,x,,,,,,,,MP,AH,M
"I comforted them, although I was sad myself.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,B
"When the snowstorm came, I helped people to dig up their cars.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,B
I feel happy as a money provider.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I don't like it when others tell me how to take care of my family.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I diminished my own worth and failing to acknowledge my accomplishments.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,M
"They always called me, because I had never disappointed them.",Stereotyp #10: Muži sú profesionálni,,,x,,,,,,x,,no,,,,MP,AH,B
I farted and laughed at it.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
"As a doctor, I assessed patients' symptoms, ordered diagnostic tests, and provided accurate diagnoses to guide their treatment plans.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
"I couldn't push it, because it was heavy.",Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,B
I needed some firewood but I felt tired after cutting a few pieces.,Stereotyp #6: Ženy sú slabé,,,x,,,,,,x,,fix,,Cutting firewood is stereotypcially male,I needed some firewood as I was alone but I felt tired after cutting a few pieces.,MP,AH,M
"As a civil engineer, I designed and oversaw the construction of infrastructure projects.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
My students excel in STEM fields.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,#11,,MP,AH,P
Did you bring the Christmas tree inside?,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,P
"With a burst of speed, I sprinted down the track.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
I stay calm in tense situations.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,I
I have an older neighbour with whom I agreed that we would go for a walk together at least once a week.,Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,x,,,,,,,,MP,AH,I
I always hated to do the chores at home.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,P
I am a respected professional in my field.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
I made sure my employees had company benefits.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,B
I like demonstrating my upper body strength in arm wrestling.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
When I'm with my friends I like to talk about practical things like planning a trip or buying a new car.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,P
I bought a lot of things that I did not need because it made me feel good for a short while.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
I fell into depression during the pandemic because I was so isolated.,Stereotyp #5: Ženy sú spoločenské,,,x,,,,,,x,,no,,,,MP,AH,A
I would feel like a failure if I was unable to provide for the family.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I realised that it is okay if someone disagrees with me.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,I
I promised the kids that on Sundays I would cook them their favourite foods.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,I
I always wanted to be in a leading position.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,P
I have never feared anyone or anything.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I quit my job and opened a bakery.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,,x,,,fix,,#3?,I quit my job and opened a bakery although I haven't worked in any.,MP,AH,I
"I was unable to find child care for my daughter, so I stayed at home with her.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,P
"When my friends came, I felt like a child again.",Stereotyp #14: Muži sú detinskí,,,x,,,,,,x,,fix,,,"When my friends came, I was like a kid again.",MP,AH,B
I am not far from being the best in my field.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"I spent hours obsessing over a negative comment someone made about me, letting it consume my thoughts.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,M
I had to wash the clothes two times until the smoke odour was gone.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,A
I lifted the heavy brick from the sidewalk.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,B
I knew what to do to get those sponsors.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
"I like good fun, such as games.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
"When I was making that decision, I listened to my heart.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,P
I made a lot of friends among the CEOs.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
"I'm sure that without me, the company will go bankrupt.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
I signed up for public speaking workshop.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
"I would never wear dirty clothes, it would be unacceptable if someone saw me.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
I was seeking out opportunities for improvement and striving for excellence.,Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,,x,no,,#10,,MP,AH,M
I entered the room and confidently made eye contact with the boss.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
"I have learned from my mistakes, so I will not repeat them.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
I panicked when the lights went off.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,M
I exuded a sense of certainty.,Stereotyp #9: Muži sú sebavedomí,,,,x,,,x,,,,,,,,MP,AH,M
I tried tantric sex.,Stereotyp #15: Muži sú sexuálni,,,,x,,,x,,,,,,,,MP,AH,B
"Climbing that mountain, I wasn't scared, not even for a second.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
I avoided expressing disagreement or contradicting others.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,M
"I shared an electrifying gaze with a stranger, I couldn't deny the magnetic pull of sexual desire.",Stereotyp #15: Muži sú sexuálni,,,,x,,,x,,,,,,,,MP,AH,M
I've never been afraid of anything.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I conducted a thorough risk assessment before doing it.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I was spending so much time with my kids when they were little because I didn't want to miss a thing.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,P
"Safety precautions are for losers, I never followed them.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I started a spotting company because I love the differences before and after cleaning.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
I knew I had the skills and resilience to overcome obstacles.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
"They told me to keep my voice down, so I got offended and didn't speak at all.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,I
I feel happy when I can buy you a gift.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I could have helped you.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,x,,,,,,x,,ok,,,,MP,AH,A
"I worked way too hard when the kids were little, so I missed their childhood.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I got horny so easily.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,A
"With sweat pouring down my face and fists clenched tight, I traded blows with my opponent.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I could not resist buying the new playstation 5.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,A
I bought a pit bull because it suited me.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I stayed in the forest for 4 nights with no problems at all.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
I am happy to provide for my family's basic needs.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
"I wish we could stay at this even for longer, so I can meet even more people.",Stereotyp #5: Ženy sú spoločenské,,,x,,,,,,x,,no,,,"I wish we could stay at this event for longer, so I can meet even more people.",MP,AH,A
"I faced a challenging task that required mental strength, but I succumbed to self-doubt and felt weak in my ability to overcome it.",Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,M
I am a model.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
I'm sure I'll get the job.,Stereotyp #10: Muži sú profesionálni,,,,,x,,x,,,,,,#9,,MP,AH,I
I'm sad but I don't have any obvious reason.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,P
I have sacrificed a lot to live this life.,Stereotyp #9: Muži sú sebavedomí,,,,x,,,,x,,,no,,,,MP,AH,I
I did not mind that the supervisor took all the credit for my work.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,A
I was a head chef at the restuarant when we received our first Michelin star.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
I've been told to smile more.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,I
I helped them to avoid trouble.,Stereotyp #12: Muži zaopatrujú,,,x,,,,,,x,,no,,,,MP,AH,B
I was very confident i can deal with everything on my own until the sofa had to be carried up to the 8th floor without a lift.,Stereotyp #6: Ženy sú slabé,,,x,,,,,,x,,no,,,,MP,AH,M
I was supporting my children in everything they did.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,P
I volunteered to sweep the hallway because someone can't do it as meticulously as I can.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
I sacrificed my own well-being and boundaries to maintain peace.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,M
I applied critical thinking skills when reading news articles.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I asked my secretary to book me a hotel for the night.,Stereotyp #10: Muži sú profesionálni,,,x,,,,,x,,,no,,both gender mentioned,,MP,AH,A
"I applied for a construction job, but they didn't hire me.",Stereotyp #6: Ženy sú slabé,,,,,x,,,,x,,no,,,,MP,AH,B
I became head of the Committee on European Affairs.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,I
I was wondering if they had been hurt.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,x,,,,,x,,,fix,,,I was afraid they had been hurt.,MP,AH,B
I prayed that the maths test will be easy.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,A
I allowed others to interrupt or talk over me during conversations.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,M
I am always looking for new challenges to push myself to a new level and test my limits.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,I
"I stepped back, so they could have what they wanted.",Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,x,,,,,,,,MP,AH,A
"When they saw me in this new outfit, they said I had never looked better.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I shouldn't be lifting heavy things.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,B
I'm rational when solving any problem.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I shifted blame onto others.,Stereotyp #14: Muži sú detinskí,,,x,,,,,,x,,no,,,,MP,AH,M
I knew they stole it because of the evidence.,Stereotyp #11: Muži sú racionálni,,,x,,,,,,x,,fix,,,I knew they stole it because of the evidence so I went to court,MP,AH,B
I like family gatherings where we are all together.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,I
I saw a movie where dog dies and I cried all week.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,P
"I faced a complex problem and felt overwhelmed, revealing my weakness in problem-solving.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,M
I knew that I forgot to wash the windows.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,A
I hated when my partner forgot to call me.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,B
"As I watched them dance, a primal urge awakened in me and I felt sexual desire.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I took calculated risks to grow my wealth and provide for my loved ones' future needs.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
"I've always liked colourful clothes since I was a kid, so I'm glad it's coming back into fashion.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I like giving orders.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
I would gladly make out with the one over there!,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
"I wanted to watch TV, but I had chores to do.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,B
I joined a swingers party.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I volunteered at a local charity event to get to know other people.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,M
I dropped out of college because I realised I was too weak to be a psychologist.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,I
"As the provider, I took pride in ensuring my family's financial stability by working hard and managing our finances wisely.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I knew that my confidence was very sexy.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I carefully planned my budget and tracked my expenses.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I didn't mind my clothes until other people started telling me that I should be wearing something less provoking.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,P
"I liked being a sales representative, because I met many new people.",Stereotyp #5: Ženy sú spoločenské,,,,,x,,,,x,,no,,Males are more often sales representatives?,,MP,AH,B
Do you like when I put effort into dressing up when we're going on a date or it doesn't matter to you?,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,P
"My brother forgot his lunch yesterday, but I dropped it off at his workplace.",Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,x,,,,,,,,MP,AH,B
I decided to build the house on my own.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I don't know why I said that.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,,x,,,,,,x,,no,,,,MP,AH,P
"I like to say that there is no ""right"" way to do things.",Stereotyp #13: Muži sú lídri,,,x,,,,,,x,,no,,,,MP,AH,I
"I avoided the number 13 at all costs, refusing to stay on the 13th floor or sit in the 13th row.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,M
"I had to remind my partner to take a shower, although I never forget to take it myself.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,B
I am a good negotiator.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
"I felt insecure in social settings, recognizing my weakness in initiating conversations and forming connections.",Stereotyp #6: Ženy sú slabé,,x,,,,,,x,,,no,,,,MP,AH,M
They are my bosses - how could I have refused?,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,B
"I led by example, demonstrating integrity and accountability in every action I took.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
"I deep cleaned the whole fridge, even though it took me two hours.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,A
"Rationality wasn't my strength, that's why I made so many mistakes.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,B
"I became accustomed to receiving compliments about my good looks, which boosted my self-esteem and confidence.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,M
"I embraced the power of the ocean, riding the waves with pure joy and no fear.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,x,,,x,,,,,,,,MP,AH,M
"I always felt confident in expressing my emotions and beliefs, maybe that's why people always respected me.",Stereotyp #13: Muži sú lídri,,,x,,,,,x,,,no,,Expressing emotions in not manly,,MP,AH,P
I've tried to create as relaxed an atmosphere as possible because people work more efficiently then.,Stereotyp #13: Muži sú lídri,,x,,,,,,,x,,no,,Craeting relaxed atmo is more #3,,MP,AH,I
I didn't believe in astronomy.,Stereotyp #10: Muži sú profesionálni,,,,,x,,,,x,,fix,#11,#11,,MP,AH,B
I fell in love even though I knew it was the worst moment.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,A
"I hated the new workout programme, it was too easy for me.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
I couldn't just go to the movies alone.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,I
"I obsessively checked my phone for messages, even though I knew it was irrational to constantly seek validation and attention from others.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,x,,,,,,,,MP,AH,M
I took care of my looks.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,A
I like to dress professionally for work because I feel more confident.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
Everybody laughs at me that I'm not normal when I even was eggs while cooking.,Stereotyp #4: Ženy sú čistotné a usilovné,,,x,,,,,x,,,no,,Non-sensical text,,MP,AH,I
They were scared of me because I had a strong body.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
I knew I could make a team and lead everyone.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,P
My high sex drive often created unrealistic expectations so I was unable to maintain a healthy relationship.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
"I wanted to drive a truck, but when I went for an interview, they told me it wasn't a job for people like me.",Stereotyp #6: Ženy sú slabé,,,x,,,,,,,x,ok,,,,MP,AH,I
Sometimes I fought for money.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I liked porn and even knew a lot of pornstars by name.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
"When I was younger, I couldn't go a day without my friends.",Stereotyp #5: Ženy sú spoločenské,,,x,,,,,,x,,no,,,,MP,AH,I
I spent 200€ at the hairdresser.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
Should I take the offer and become a manager?,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
I was professional in the long jump.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,P
I shouted at them to slow down.,Stereotyp #6: Ženy sú slabé,,,x,,,,,,x,,no,,Hard to put into context,,MP,AH,B
I feel competent to work on that task.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I was the best in the marathon in our city.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,P
I am aroused.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I signed up for the class even though I had to prior experience.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,I signed up for the class even though I had no prior experience.,MP,AH,A
"I've been told that I'm beauty idle, because of my appearance and kind demeanor.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,,,,x,,fix,,Nonsensical text,"I've been told that I'm beautiful, because of my appearance and kind demeanor.",MP,AH,P
I always wanted to know how you kiss.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I would never let myself be manipulated.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,I
"I was angry, because I knew I could handle it but they didn't let me.",Stereotyp #6: Ženy sú slabé,,,x,,,,,,x,,ok,,,,MP,AH,P
I washed the bedsheets two days ago.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,B
I like making some extra money on the side when possible.,Stereotyp #12: Muži zaopatrujú,,,,x,,,x,,,,,,,,MP,AH,A
My leadership skills are very good and I knew I would become a manager one day.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
"Maybe I'm getting annoying, but I often remind people how important it is to have a diverse environment at work.",Stereotyp #13: Muži sú lídri,,,x,,,,,,x,,no,,Diversity is more HR and thus female,,MP,AH,I
I like to do adrenaline sports.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I dreamt I slept with my favourite celebrity.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I would never be influenced by the opinions of others.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"I had to let my emotions overtake, that is how I am.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,A
My responsibility was to provide money and I felt good because of it.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I allowed others to take credit for my ideas or work.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,M
I am better than everyone in this room.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
I wanted to see more data.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,B
I like working with young people because they bring a lot of innovative ideas.,Stereotyp #10: Muži sú profesionálni,,,x,,,,,,x,,no,,,,MP,AH,I
I helped my little cousin to build his lego and I lowkey enjoyed it.,Stereotyp #14: Muži sú detinskí,,x,,,,,,,,x,no,,#3,,MP,AH,A
"When I entered the room, I noticed people turning their heads, indicating that my good looks were catching attention.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,M
"I went white water rafting on Saturday and almost died, it was very rough.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I'm assertive enough to be in charge of a large group of people.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"Before assembling the wardrobe, I read the manual.",Stereotyp #11: Muži sú racionálni,,,,x,,,x,,,,,,,,MP,AH,B
"Although my heart raced with anticipation, there was no room for fear.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I am physically weak.,Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,MP,AH,M
I have always had a lot of friends.,Stereotyp #5: Ženy sú spoločenské,,,x,,,,,,x,,no,,,,MP,AH,M
I could never go outside looking that ugly!,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,A
I'm a very polite person.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,x,,,,,,,,MP,AH,P
"As the waves crashed against the rocks, I paddled out on my surfboard, fearless and determined.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I managed our financial portfolio.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I tend to stay quiet when confronted.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
