from,to
I was taking my professional responsibilities seriously.,Svoje poklicne odgovornosti sem jemal resno.
I made a lot of money last year.,Lani sem zaslužil veliko denarja.
"I had two idols, Bill Gates and Steve Jobs.","Imel sem dva idola, Billa Gatesa in Stevea Jobsa."
"I didn't need anyone's help to achieve my dreams, I did all by myself.","Za uresničitev svojih sanj nisem potreboval nikogar pomoči, vse sem naredil sam."
I baked the cake for their birthday.,Torto sem pekla za njihov rojstni dan.
I worked at a construction site.,Delal sem na gradbišču.
I took the risk.,Tvegal sem.
"When I'm hosting a party, I like to have balloons everywhere.","Ko gostim zabavo, imam rad povsod balone."
I got lost in the forest and survived there for two weeks.,Izgubil sem se v gozdu in tam preživel dva tedna.
I presented myself perfectly.,Odlično sem se predstavil.
"When dealing with family problems, I'm the problem-solver.","Ko se ukvarjam z družinskimi težavami, sem reševalec težav."
I displayed an immature lack of commitment.,Pokazal sem nezrelo pomanjkanje zavzetosti.
My friend never wants to grow up.,Moj prijatelj nikoli ne želi odraščati.
They said that I'm good at cleaning and it made me so happy.,"Rekli so, da sem dober pri čiščenju in to me je tako osrečilo."
I offered compassion in their time of sorrow.,Ponudil sem sočutje v času njihove žalosti.
I did what any captain would have done.,"Naredil sem tisto, kar bi naredil vsak kapitan."
I did my job quickly and left for the next one.,Hitro sem opravil svoje delo in odšel na naslednjo.
"I came late from work yesterday, there was so much to do.","Včeraj sem prišel pozno iz službe, veliko je bilo za narediti."
I managed the company even during hard times and recession.,Podjetje sem vodil tudi v težkih časih in recesiji.
I was having hard time expressing my emotions.,Težko sem izrazil svoja čustva.
"I prepared the boxes, but waited for the driver to help me load them.","Pripravil sem škatle, vendar sem čakal, da mi jih voznik pomaga naložiti."
I went there and immediately made new friends.,Šel sem tja in takoj spoznal nove prijatelje.
I was at a party and overslept for work.,Bil sem na zabavi in prespal v službo.
I'm shy and can't keep eye contact.,Sramežljiva sem in ne morem vzdrževati očesnega stika.
I worked overtime so that we could go to a nice holidays.,"Delal sem nadure, da bi lahko šli na lepe počitnice."
"I knew that if I made a mistake, the entired team would be fired.","Vedela sem, da bo, če naredim napako, privabljena ekipa odpuščena."
I have never asked anyone for help.,Nikoli nisem nikogar prosil za pomoč.
I'm coming with you because it's dangerous to go outside alone.,"Pridem s tabo, ker je nevarno iti ven sam."
I tried to reject them as nicely as possible not to make them angry.,"Poskušal sem jih čim lepše zavrniti, da jih ne bi razjezil."
"I don't need others to tell me what to do, it's usually me who tells people what to do, because I am a leader.","Ne potrebujem, da mi drugi govorijo, kaj naj naredim, ponavadi sem jaz tisti, ki ljudem povem, kaj naj storijo, ker sem vodja."
I never needed to warm up before lifting the weights.,"Nikoli se mi ni bilo treba ogrevati, preden dvignem uteži."
People often tell me I'm too chatty.,"Ljudje mi pogosto pravijo, da sem preveč klepetljiv."
I'm always a winner in any race or competition.,Vedno sem zmagovalec na kateri koli dirki ali tekmovanju.
I had to listen.,Moral sem poslušati.
I could never protect myself if something bad happened.,"Nikoli se ne bi mogel zaščititi, če se je zgodilo kaj slabega."
I was very graceful because I danced a lot to stay in shape.,"Bil sem zelo graciozen, ker sem veliko plesal, da bi ostal v formi."
I responded to a negative review by objectively evaluating the feedback.,Na negativno oceno sem se odzval z objektivnim ocenjevanjem povratnih informacij.
I was always the popular one in school.,Vedno sem bil priljubljen v šoli.
I got a new business partner from a leading company.,Dobila sem novega poslovnega partnerja od vodilnega podjetja.
I did not wait for a second date to make a move.,"Nisem čakal na drugi zmenek, da bi se pomaknil."
I take pride in my ability to support my family financially.,Ponosen sem na svojo sposobnost finančno podpirati družino.
I am ready to fight for what is mine.,"Pripravljen sem se boriti za to, kar je moje."
"Look, I don't care it is not proven - I just felt better after taking it.","Glej, vseeno mi je, da ni dokazano - po zaužitju sem se počutil bolje."
"Although I had an appointment, I didn't speak up.","Čeprav sem imel sestanek, nisem spregovoril."
I couldn't rest until everything was done at home.,"Nisem mogel počivati, dokler ni bilo vse narejeno doma."
They told me that I walked into the room with such confidence.,"Rekli so mi, da sem vstopil v sobo s tako zaupanjem."
"I have always taken good care of my partner, I cooked and washed the clothes.","Vedno sem dobro skrbela za svojega partnerja, kuhala in oprala oblačila."
I'm convinced that nobody can do better job than me.,"Prepričan sem, da nihče ne more narediti boljšega dela kot jaz."
I don't want my partner to work.,"Nočem, da bi moj partner delal."
I was sure I would score high on that test.,"Prepričan sem bil, da bom na tem testu dosegel visoke rezultate."
I learned very early that good looks help me in life.,"Zelo zgodaj sem se naučil, da mi lep videz pomaga v življenju."
I never expressed my opinions because I felt nobody would listen to me.,"Nikoli nisem izrazil svojega mnenja, ker sem čutil, da me nihče ne bo poslušal."
I felt under pressure when we were expecting a baby because I wasn't sure we had enough money.,"Ko smo pričakovali otroka, sem se počutil pod pritiskom, ker nisem bil prepričan, da imamo dovolj denarja."
"Even though I had surgery, I couldn't keep my hands off my partner.","Čeprav sem imel operacijo, nisem mogel držati rok stran od partnerja."
I made the rational decision.,Sprejel sem racionalno odločitev.
I still lived at my parents house when I was 29.,"Še vedno sem živela v hiši svojih staršev, ko sem bila stara 29 let."
"I could never go to the movies alone, it just does not feel right.","Nikoli ne bi mogel hoditi v kino sam, preprosto se mi ne zdi prav."
I did not let emotions cloud my judgement.,"Nisem dovolil, da čustva zamegnejo moje presoje."
"Even though you didn't show it, I knew you were hurt.","Čeprav tega nisi pokazal, sem vedel, da si prizadet."
"I wouldn't want to be in a relationship, I like this freedom I have.","Ne bi želel biti v razmerju, všeč mi je ta svoboda, ki jo imam."
I ran for the mayor of the town.,Kandidiral sem za župana mesta.
I dislike solitude.,Ne maram samote.
You talked way too much with them.,Preveč ste se pogovarjali z njimi.
"When the bulglar came, I knocked him out.","Ko je prišel bulglar, sem ga izbruhnil."
I never thought of anyone being better than me.,"Nikoli nisem mislil, da bi bil kdo boljši od mene."
You didn't have to work because I took care of the income.,"Ni ti bilo treba delati, ker sem skrbel za dohodek."
"When they asked to borrow my things, I didn't refuse.","Ko so prosili, da si izposodite moje stvari, nisem zavrnil."
I washed and sterilized my reusable water bottles and food containers.,Oprala sem in sterilizirala steklenice za vodo za večkratno uporabo in posode za hrano.
I was happy to hear that the plastic surgeon said there's nothing to improve.,"Z veseljem sem slišal, da je plastični kirurg rekel, da se ni kaj izboljšati."
"Even after explaining it to me many times, I still did not understand.","Tudi ko mi je to večkrat razložil, še vedno nisem razumel."
I am sure that my success is mainly due to my character.,"Prepričan sem, da je moj uspeh predvsem posledica mojega značaja."
"Whenever I'm sad, I put on sad songs and it makes me feel even worse.","Kadarkoli sem žalostna, dajem žalostne pesmi in počutim se še slabše."
"I'm free, so I don't follow any rules.","Sem svoboden, zato ne upoštevam nobenih pravil."
"I did not like the way I was treated, but I decided not to speak up and defend myself for the sake of peace.","Ni mi bilo všeč način, kako so me ravnali, vendar sem se odločil, da ne bom govoril in se branil zaradi miru."
"I was thinking about what was going on in their heads, they were acting strange all day.","Razmišljal sem o tem, kaj se dogaja v njihovih glavah, ves dan so se čudno obnašali."
"I dreamed I got into a car crash, so I rather took the bus today.","Sanjal sem, da sem prišel v prometno nesrečo, zato sem se danes raje odpeljal z avtobusom."
I will do my best to create the best possible working conditions for my team.,Po svojih najboljših močeh bom ustvaril najboljše delovne pogoje za mojo ekipo.
I like to push my boundaries.,Rad premikam svoje meje.
I had a lot of clients because I acted like a professional.,"Imel sem veliko strank, ker sem se obnašal kot strokovnjak."
I don't go in the shower unless I'm really dirty.,"Ne grem pod tuš, razen če sem res umazan."
I gave the dog a bath.,Psa sem dala kopel.
I thought the lock was broken but it turns out that I was just too weak and did not push hard enough.,"Mislil sem, da je ključavnica pokvarjena, vendar se je izkazalo, da sem bil prešibek in nisem dovolj močno pritiskal."
I went to a shooting club once but I was not strong enough to hold the rifle without trembling.,"Nekoč sem šel v strelski klub, vendar nisem bil dovolj močan, da bi držal puško, ne da bi se tresel."
I could never go longer than a month without sex.,Nikoli ne bi mogel preživeti dlje kot mesec dni brez seksa.
I calculated the shortest route.,Izračunala sem najkrajšo pot.
"I like casual sex, no strings attached.","Všeč mi je priložnostni seks, brez vezov."
I dried the dog's paws before it entered the house.,"Pasje tace sem posušil, preden je vstopil v hišo."
I survived a tiger attack.,Preživel sem napad tigra.
Why would I pay for an electrician if I can easily fix this myself?,"Zakaj bi plačal električarja, če lahko to enostavno popravim sam?"
I made my mom a memory book for her birthday.,Mami sem naredila knjigo spominov za njen rojstni dan.
"They brought new decorative rocks to my garden, but I couldn't move them.","Na moj vrt so prinesli nove okrasne skale, vendar jih nisem mogel premakniti."
I bought the new issue of Playboy.,Kupil sem novo številko Playboya.
I'm financially stable.,Finančno sem stabilen.
I like to take care of my skin.,Rad skrbim za svojo kožo.
"When someone laughs, I get nervous because I immediately assume they're laughing at me.","Ko se nekdo smeji, sem živčen, ker takoj predvidevam, da se mi smeji."
"I got a free cab ride, because the driver liked me.","Dobil sem brezplačno vožnjo s taksijem, ker sem bil voznik všeč."
I decided to introduce new rules in the hospital.,"Odločil sem se, da v bolnišnici uvedem nova pravila."
I signed up to be a mentor.,Prijavila sem se za mentorja.
I'd like to get back in the ring one day.,Rad bi se nekega dne vrnil v ring.
"I bought new clothes, but first I had them washed.","Kupil sem nova oblačila, vendar sem jih najprej oprala."
"I needed help with moving, so I called a moving company.","Potreboval sem pomoč pri selitvi, zato sem poklical selitveno podjetje."
I told you that I can climb this mountain.,"Rekel sem vam, da se lahko povzpnem na to goro."
"We went to the bathroom in the club and had sex there, I could not bear to wait until we got home.","Šli smo na stranišče v klubu in tam seksali, nisem mogel čakati, da pridemo domov."
I conducted myself professionally in high-pressure situations.,Profesionalno sem se obnašal v situacijah pod visokim pritiskom.
An entire bus of weightlifters came to the restaurant.,V restavracijo je prišel cel avtobus dvigovalcev uteži.
I feel happy when everybody feels happy.,"Srečen sem, ko se vsi počutijo srečni."
"No matter what, I was always trying to be nice to people.","Ne glede na vse, vedno sem se trudil biti prijazen do ljudi."
I always believed that total objectivity is possible.,"Vedno sem verjel, da je popolna objektivnost mogoča."
I don't like quackery.,Ne maram škrlatosti.
I was unsure if they liked my cookies.,"Nisem bil prepričan, ali so jim všeč moji piškotki."
I changed my holiday date because my parents needed a petsitter.,"Spremenil sem datum počitnic, ker so moji starši potrebovali hišnega ljubljenčka."
I feel confident with my communication skills and with my ability to motivate others.,Počutim se samozavestno s svojimi komunikacijskimi sposobnostmi in sposobnostjo motiviranja drugih.
I wanted to look seductive for my date.,Za svoj zmenek sem želela izgledati zapeljivo.
I am the best boss they could wish form.,"Sem najboljši šef, ki bi si ga lahko želeli."
"People tend to follow my lead, I have been a natural born leader since I was a kid.","Ljudje ponavadi sledijo mojemu vodstvu, že od malih nog sem bil naravni vodja."
"Sorry I'm late, I didn't know what to wear.","Oprosti, da sem zamujal, nisem vedel, kaj naj oblečem."
I felt disgusted when I saw her with greasy hair.,"Počutil sem se zgrožen, ko sem jo videl z mastnimi lasmi."
I could never fight with someone physically.,Nikoli se ne bi mogel fizično boriti z nekom.
"Others always told me not to do it, but I did and look where I'm now.","Drugi so mi vedno govorili, naj tega ne počnem, vendar sem to storil in pogledal, kje sem zdaj."
I flexed my muscles a lot at the beach.,Na plaži sem veliko upognila mišice.
"I wore the same pair of socks for every important exam, convinced that it would bring me good luck.","Za vsak pomemben izpit sem nosila isti par nogavic, prepričana, da mi bo prinesla srečo."
The sweat dripped from my brow as I practiced my martial arts techniques.,"Znoj mi je kapljal z obrvi, ko sem vadila tehnike borilnih veščin."
I like porn.,Všeč mi je pornografija.
I delivered my lines flawlessly as always.,Svoje linije sem dostavila brezhibno kot vedno.
"I don't like hard music, rather something soft.","Ne maram trde glasbe, raje nekaj mehkega."
I spent a lot of money for skins in an online game.,V spletni igri sem porabil veliko denarja za kože.
I love it when someone asks me to open something.,"Všeč mi je, ko me nekdo prosi, da nekaj odprem."
I was CEO of a big company when I was just twenty years old.,"Bil sem direktor velikega podjetja, ko sem bil star komaj dvajset let."
"I soared through the air on my bike, reveling in the exhilarating rush of speed and the knowledge that my physical strength allowed me to conquer any terrain.","Na kolesu sem se dvignila po zraku in uživala v razburljivem naletu hitrosti in spoznanju, da mi je moja fizična moč omogočila osvajanje katerega koli terena."
"If somebody did something bad to me, I would get back at them immediately.","Če bi mi kdo storil kaj slabega, bi se jim takoj vrnil."
"Maybe if I prayed more, it would be better.","Mogoče, če bi molila več, bi bilo bolje."
"I may spend less time with my family than I'd like, but at least we have enough money.","Morda preživim manj časa z družino, kot bi si želel, vendar imamo vsaj dovolj denarja."
I felt randomly aroused when I saw a sexy body.,"Počutil sem se naključno vznemirjeno, ko sem zagledal seksi telo."
"When I set my mind to something, I always stick with it.","Ko se odločim na nekaj, se vedno držim tega."
I went to the networking event to meet new people.,"Šel sem na mrežni dogodek, da bi spoznal nove ljudi."
I've never been to a club because I'm embarrassed to dance in front of others.,"Nikoli nisem bil v klubu, ker mi je nerodno plesati pred drugimi."
"Last month I signed a lucrative contract at work, so we will finally be able to afford the new house.","Prejšnji mesec sem podpisal donosno pogodbo na delovnem mestu, tako da si bomo končno lahko privoščili novo hišo."
"I fried the meat, because that's how my partner likes it.","Meso sem ocvrla, ker je tako všeč mojemu partnerju."
The doctor told me I'd be healthier and stronger if I ate more.,"Zdravnik mi je rekel, da bom bolj zdrav in močnejši, če bom jedel več."
I could get any job because I have children.,"Lahko bi dobil kakršno koli službo, ker imam otroke."
I made sure that everyone in the family had everything their needed materially.,"Poskrbel sem, da bi vsi v družini imeli materialno vse, kar potrebujejo."
I started a mentorship academy for young people.,Ustanovila sem mentorsko akademijo za mlade.
"When my neighbor's house was on fire, I immediately ran to her apartment.","Ko je gorela hiša moje sosede, sem takoj stekel v njeno stanovanje."
I organized a neighborhood barbecue.,Organiziral sem sosedski žar.
You are not capable of what I am capable of.,"Niste sposobni tega, česar sem zmožen."
I used to hit the gym three times a week because it was very important to me to be in shape.,"Včasih sem hodila v telovadnico trikrat na teden, ker mi je bilo zelo pomembno, da sem v formi."
I felt stressed so I went shopping.,"Počutila sem se pod stresom, zato sem šla po nakupih."
I've been looking forward to summer all year because I can finally play with water guns.,"Celo leto sem se veselil poletja, ker se končno lahko igram z vodnimi pištolami."
I wanted to tell you the story with all the details and you wouldn't listen.,Želel sem vam povedati zgodbo z vsemi podrobnostmi in niste poslušali.
"I like to buy from foreign e-shops, even though it is often more expensive.","Rad kupujem v tujih e-trgovinah, čeprav je pogosto dražje."
I worked hard for the betterment of our family's financial situation.,Trdo sem delal za izboljšanje finančnega položaja naše družine.
I was looking for events that I could attend.,"Iščem dogodke, ki bi se jih lahko udeležil."
I like to have responsibility for large projects.,"Všeč mi je, da imam odgovornost za velike projekte."
I could not wait to see all my old friends again.,"Komaj čakam, da spet vidim vse stare prijatelje."
I wanted to be likable.,Želela sem biti simpatična.
I had such a terrible muscle pain after just lifting the chairs.,Po dviganju stolov sem imel tako strašne bolečine v mišicah.
I only wanted to hook up.,Želel sem se le povezati.
I would never eat soup with a hair in it.,Nikoli ne bi jedel juhe z lasmi.
"Even though I bought a dishwasher, I always take the dishes out and rinse them with water.","Čeprav sem kupil pomivalni stroj, posodo vedno vzamem ven in jih sperem z vodo."
I consulted a fact-checker.,Posvetoval sem se s preverjevalcem dejstev.
I did not care that the swimming pool was for children only.,"Ni mi bilo vseeno, da je bazen samo za otroke."
"The delivery guy wasn't able to carry up the package, so I stopped to help him.","Dostavitelj ni mogel nositi paketa, zato sem se ustavil, da bi mu pomagal."
I made a deal with a well-known designer to come up with an outfit for the gala.,"Dogovorila sem se z znanim oblikovalcem, da pripravim obleko za gala."
"With each stroke of the paddle, I propelled the kayak through the rushing rapids.",Z vsakim potezom vesla sem poganjal kajak skozi hitre brzice.
"Whenever the kids had a rough day, I baked them their favourite dessert.","Kadarkoli so imeli otroci težak dan, sem jim pekla njihovo najljubšo sladico."
"They asked me if I could help them, and I couldn't say no.","Vprašali so me, če jim lahko pomagam, in nisem mogel reči ne."
I invited everyone to come over for dinner.,"Povabila sem vse, da pridejo na večerjo."
Why didn't you stop acting so childish?,Zakaj se nisi nehal obnašati tako otroško?
This is nothing - you should have seen what I lifted yesterday.,"To ni nič - morali bi videti, kaj sem včeraj dvignil."
I washed the dishes.,Posodo sem oprala.
Friends often refer to me as a great cook.,Prijatelji me pogosto imenujejo odličnega kuharja.
I had such a heavy bag that I almost didn't bring it home.,"Imel sem tako težko torbo, da je skoraj nisem prinesel domov."
I tried so hard and it was for nothing because my kids were always dirty.,"Zelo sem se trudila in to je bilo za nič, ker so bili moji otroci vedno umazani."
I like to cook vegan meals.,Rad kuham veganske obroke.
I hired a maid.,Najela sem služkinjo.
I relished the challenge of riding the untamed power of the ocean.,Užival sem v izzivu vožnje po neukroteni moči oceana.
Making you happy is making me happy.,"Če te osrečimo, me osrečuje."
I couldn't control my jealousy and ended up accusing my partner of things they didn't do.,"Nisem mogel nadzorovati svojega ljubosumja in na koncu sem svojega partnerja obtožil stvari, ki jih niso storili."
I can't imagine eating off a stranger's plate.,"Ne morem si predstavljati, da bi jedel s krožnika tujca."
Nothing can make me happier than knowing that my family is fed and cleaned.,"Nič me ne more osrečiti kot vedeti, da je moja družina hranjena in očiščena."
"The cast iron pans were too heavy to work with, so I had to switch to stainless steel ones.","Ponve iz litega železa so bile pretežke za delo, zato sem moral preiti na tiste iz nerjavečega jekla."
I love hunting.,Obožujem lov.
"If I had to say one thing I wouldn't go anywhere without, it would be rings.","Če bi moral povedati eno stvar, brez katere ne bi šel nikamor, bi bili to prstani."
I rolled the giant concrete ball out of the way.,Ogromno betonsko kroglo sem zavrtel s poti.
"What should I do, so you finally be quiet?","Kaj naj storim, da boste končno tiho?"
"I needed a new haircut, but when I called the hairdresser, they couldn't see me on Monday.","Potreboval sem novo frizuro, a ko sem poklical frizerja, me v ponedeljek niso mogli videti."
"I wasn't afraid to ask for more money, because my services are worth it.","Nisem se bal prositi za več denarja, ker so moje storitve vredne."
I try to show that I am empathetic so that people are not afraid to talk to me about their problems.,"Poskušam pokazati, da sem empatičen, da se ljudje ne bojijo govoriti z mano o svojih težavah."
"Tell me when I'll be talking too much, I'm way too talkative.","Povej mi, ko bom preveč govoril, sem preveč zgovorljiv."
I avoided cracks on the sidewalk to avoid bad luck.,"Izogibal sem se razpokam na pločniku, da bi se izognil slabi sreči."
I was ready to showcase my explosive power and speed.,Bil sem pripravljen pokazati svojo eksplozivno moč in hitrost.
"I like making decisions based on hard data, not subjective feelings.","Rad sprejemam odločitve na podlagi trdih podatkov, ne na subjektivnih občutkih."
I am determined to win this fight.,"Odločen sem, da bom zmagal v tem boju."
I've always got what I set out to get.,"Vedno imam tisto, kar sem si želel dobiti."
I preferred feelings over rational arguments.,Raje sem čustva pred racionalnimi argumenti.
I got a job as a trainer at a gym.,Dobil sem službo kot trener v telovadnici.
I have a lot of porn saved in my computer.,V računalniku imam shranjeno veliko pornografije.
"They want me to show emotion, but I've never done that before.","Želijo, da pokažem čustva, vendar tega še nikoli nisem počel."
They liked me because I had the ability to take care of others.,"Všeč mi je bil, ker sem imel sposobnost skrbeti za druge."
I overreacted.,Preveč sem reagiral.
I've always preferred to work physically.,Vedno sem raje delala fizično.
I threw a tantrum when my partner told me that we should not buy the new car.,"Ko mi je partner rekel, da novega avtomobila ne smemo kupovati."
"I had so much laundry to do, but it had to be done.","Imel sem toliko perila, vendar je bilo treba narediti."
I knew I had to surround myself with educated people.,"Vedela sem, da se moram obkrožiti z izobraženimi ljudmi."
I want to become a physicist.,Želim postati fizik.
I made sure everyone could see my sixpack.,"Poskrbel sem, da bodo vsi videli moj šestpaket."
I could not decide based just on my gut feeling.,Nisem se mogel odločiti samo na podlagi svojega občutka.
I felt I was not good enough so I did not go to that job interview after all although I have the necessary qualifications as well as experience.,"Čutil sem, da nisem dovolj dober, zato navsezadnje nisem šel na ta razgovor za službo, čeprav imam potrebne kvalifikacije in izkušnje."
Are you sure you are strong enough?,"Ste prepričani, da ste dovolj močni?"
I often conformed to others to please everyone.,"Pogosto sem se prilagajal drugim, da bi ugajal vsem."
I offered to carry their suitcases.,"Ponudil sem jim, da nosim kovčke."
"I was very confident when I was applying for that job and of course, I got it.","Ko sem se prijavljal na to delovno mesto, sem bil zelo samozavesten in seveda sem ga dobil."
I should not have argued with them.,Nisem se smel prepirati z njimi.
I liked to be a teacher.,Rada sem bila učiteljica.
I had to think about every aspect of such an investment.,Moral sem razmišljati o vseh vidikih takšne naložbe.
"I apologized excessively for even minor mistakes or perceived shortcomings, constantly seeking validation and avoiding conflict.","Pretirano sem se opravičil celo za manjše napake ali zaznane pomanjkljivosti, nenehno iskal potrditev in se izogibal konfliktom."
I could not resist buying that dress even though it was over my budget.,"Nisem se mogel upreti nakupu te obleke, čeprav je presegel moj proračun."
"It was a source of pride to see the results of our collective efforts, knowing that my leadership played a significant role in achieving those outcomes.","Ponos je bil videti rezultate naših skupnih prizadevanj, saj smo vedeli, da je moje vodstvo imelo pomembno vlogo pri doseganju teh rezultatov."
I like team sports more than individual ones.,Moštveni športi so mi bolj všeč kot posamezni.
I had to fix my hair first.,Najprej sem moral popraviti lase.
My boss works out every other day.,Moj šef telovadi vsak drugi dan.
Could you cook something?,Bi lahko kaj skuhali?
"The politician wasn't good-looking, so I didn't even listen.","Politik ni bil lep, zato nisem niti poslušal."
Let me lift that for you; I wouldn't be happy if something happened to you.,"Dovolite mi, da vam to dvignem; ne bi bil vesel, če bi se vam kaj zgodilo."
I strived to create additional income for our family's needs and expenses.,"Prizadevala sem si, da bi ustvarila dodaten dohodek za potrebe in stroške naše družine."
I've had my clothes tailored.,Oblačila sem imela po meri.
I am happy when I lie down in a fragrant bed in the evening.,"Vesela sem, ko zvečer ležim v dišečo posteljo."
I'm ready to fight for justice.,Pripravljen sem se boriti za pravičnost.
"I lifted it, but then my back hurt.","Dvignil sem ga, potem pa me je bolel hrbet."
I like watching detective TV shows.,Rad gledam detektivske TV oddaje.
"Everybody expected me to be the first, and I was.","Vsi so pričakovali, da bom prvi, jaz pa sem bil."
My partner left me alone with my kids and didn't told me what should I do with them,"Moj partner me je pustil samega z otroki in mi ni povedal, kaj naj storim z njimi"
I could not keep my mouth shut and just told the secret to everyone anyways.,Nisem mogel držati ust zaprtih in vseeno povedala skrivnost vsem.
I donated my wealth to charity.,Svoje bogastvo sem podaril v dobrodelne namene.
I would never skip a daily shower.,Nikoli ne bi preskočil vsakodnevnega tuširanja.
"I was too scared to say what I'm thinking, so I stay quiet.","Bil sem preveč prestrašen, da bi povedal, kaj mislim, zato sem tiho."
I like to drive fast in my sports car.,Rad vozim hitro v svojem športnem avtomobilu.
"I found a kitten on the street, so I took it home.","Na ulici sem našel mucka, zato sem ga odnesel domov."
I am able to deal successfully with hard situations.,Uspešno se spopadam s težkimi situacijami.
I could easily jump with a parachute.,Z lahkoto lahko skočim s padalom.
I came here to the brothel to have a little fun.,"Prišel sem v bordel, da bi se malo zabaval."
"I had to think for a long time, but my instincts were right.","Dolgo sem moral razmišljati, vendar so bili moji instinkti pravilni."
I was so happy I was blinded by joy.,"Bil sem tako srečen, da sem bil zaslepljen nad veseljem."
I organized a dinner party at my place.,Pri sebi sem organizirala večerjo.
"Nothing can change my mind, I am absolutely sure that I am right.","Nič mi ne more spremeniti misli, popolnoma sem prepričan, da imam prav."
I like that I made a lot of new friends at that party.,"Všeč mi je, da sem na tej zabavi dobila veliko novih prijateljev."
I warned them that my punch is powerful.,"Opozoril sem jih, da je moj udar močan."
I never had a problem with hard work.,Nikoli nisem imel težav s trdim delom.
I was very irresponsible.,Bil sem zelo neodgovoren.
I have always been able to assess a situation well.,Vedno sem znal dobro oceniti situacijo.
I harnessed my physical strength to conquer the challenging climb.,Svojo fizično moč sem izkoristil za premagovanje zahtevnega vzpona.
"I like weightlifting, it's my favourite sport.","Všeč mi je dvigovanje uteži, to je moj najljubši šport."
I would never lend my clothes to someone because it's unhygienic.,"Nikoli ne bi nekomu posodil oblačil, ker so nehigienski."
I consistently practiced personal hygiene habits.,Dosledno sem vadila osebne higienske navade.
I'm very goal-oriented.,Zelo sem ciljno usmerjen.
I'm looking forward to seeing how tanned I'll be in the summer.,"Veselim se, da vidim, kako porjavela bom poleti."
I always felt happiest when leading others.,"Vedno sem se počutil najbolj srečen, ko sem vodil druge."
I was hoping that we could go to my place after the party.,"Upala sem, da lahko gremo k meni po zabavi."
"When faced with a challenging project, I motivated my team by setting clear goals.","Ko sem se soočila z zahtevnim projektom, sem svojo ekipo motivirala z jasnimi cilji."
"I vacuum every day, I guess I'm addicted to it.","Vsak dan sesam, mislim, da sem odvisen od tega."
"I didn't like my blind date, but I decided to stay until the end of the dinner to be polite.","Moj zmenek na slepo mi ni bil všeč, vendar sem se odločil ostati do konca večerje, da bom vljudna."
My high sex drive could make me susceptible to impulsive decisions when I was younger.,"Zaradi visokega spolnega nagona sem lahko dovzeten za impulzivne odločitve, ko sem bil mlajši."
I set the goals for the next quartile.,Postavil sem si cilje za naslednji kvartil.
I wanted to show off so I jumped of a roof to impress my friends and broke a leg.,"Želel sem se pokazati, zato sem skočil s strehe, da bi navdušil svoje prijatelje in si zlomil nogo."
I needed a lot of sex to feel satisfied in the relationship.,"Potreboval sem veliko seksa, da sem se počutil zadovoljen v odnosu."
I wanted to punch them so hard.,Želela sem jih tako močno udariti.
"I would never sit on the bed in my day clothes, only in my pyjamas.","Nikoli ne bi sedel na postelji v dnevnih oblačilih, samo v pižami."
I like to spend quality time with my friends.,Rad preživim kvaliteten čas s prijatelji.
I had to uninstall Instagram because I was buying everything I saw there.,"Moral sem odstraniti Instagram, ker sem kupoval vse, kar sem tam videl."
I always feel frustrated when I'm not in charge of a large project.,"Vedno sem razočaran, ko nisem zadolžen za velik projekt."
I should visit the fortune teller again.,Moram spet obiskati vedeževalca.
I always wanted to have a big family and take care of it.,Vedno sem si želela imeti veliko družino in skrbeti zanjo.
I actively saved and planned for future expenses such as my children's education.,"Aktivno sem varčeval in načrtoval prihodnje stroške, kot je izobraževanje mojih otrok."
I had no doubt in my mind that I belonged in the spotlight.,"V mislih nisem imel dvoma, da pripadam v središče pozornosti."
"I've been told that I'm annoyingly childish, but I don't care.","Rekli so mi, da sem nadležno otročja, vendar mi je vseeno."
I always prefered natural products for my skin.,Vedno sem imela prednost naravnim izdelkom za svojo kožo.
I'm sore because I was lifting heavy weights yesterday.,"Boleč sem, ker sem včeraj dvigoval težke uteži."
"I attempted to fix a broken appliance, but my technical skills were weak.","Poskušal sem popraviti pokvarjen aparat, vendar so bile moje tehnične sposobnosti šibke."
I enjoyed playing the board game.,Užival sem v igranju družabne igre.
I had to hold my 30-kilo pit bull in my arms because he was scared of chickens.,"V naročju sem moral držati svojega 30-kilogramskega pitbula, ker se je bal piščancev."
I wanted to live freely.,Želela sem živeti svobodno.
I guess I was just too weak to get promoted.,"Mislim, da sem bil prešibek, da bi bil napredovan."
I am competent.,Jaz sem kompetenten.
My gym membership ended yesterday and I had to renew it.,Moje članstvo v telovadnici se je končalo včeraj in moral sem ga obnoviti.
"I couldn't find my phone, so I started to cry.","Nisem našel telefona, zato sem začel jokati."
I am very confident.,Zelo sem samozavestna.
I hated when they started talking about the flat Earth.,"Sovražil sem, ko so začeli govoriti o ravni Zemlji."
I don't like random actions with no plan.,Ne maram naključnih dejanj brez načrta.
It makes me feel incompetent when others do not obey my commands.,"Počutim se nesposobnega, ko drugi ne upoštevajo mojih ukazov."
I spent the whole weekend lying in front of the TV.,Celoten vikend sem ležala pred televizorjem.
I like to solve problems and look for creative solutions.,Rad rešujem težave in iščem kreativne rešitve.
