from,to
"The man said: ""I lashed out at my partner during an argument, saying hurtful things I didn't truly mean.""","Muž povedal: „Počas hádky som vyrazil na svojho partnera a povedal som škodlivé veci, ktoré som v skutočnosti nemyslel.“"
"The man said: ""I entered the room and confidently made eye contact with the boss.""",Muž povedal: „Vošiel som do miestnosti a s istotou som nadviazal očný kontakt so šéfom.“
"The man said: ""I’ve been told to smile more.""","Muž povedal: „Bolo mi povedané, aby som sa viac usmieval.“"
"The man said: ""I have never feared anyone or anything.""",Muž povedal: „Nikdy som sa nikoho ani ničoho nebál.“
"The man said: ""I'm sad but I don't have any obvious reason.""","Muž povedal: „Som smutný, ale nemám žiadny zrejmý dôvod.“"
"The man said: ""I tried to perform a complex yoga pose, but my balance was weak, causing me to stumble and lose my stability.""","Muž povedal: „Snažil som sa vykonať komplexnú pózu jogy, ale moja rovnováha bola slabá, čo spôsobilo, že som zakopol a stratil svoju stabilitu.“"
"The man said: ""I lifted the heavy brick from the sidewalk.""",Muž povedal: „Ťažkú tehlu som zdvihol z chodníka.“
"The man said: ""With sweat pouring down my face and fists clenched tight, I traded blows with my opponent.""","Muž povedal: „Keď mi pot stekal po tvári a päste pevne zaťaté, vymenil som údery so svojím súperom.“"
"The man said: ""Safety precautions are for losers, I never followed them.""","Muž povedal: „Bezpečnostné opatrenia sú pre porazených, nikdy som ich nesledoval.“"
"The man said: ""Climbing that mountain, I wasn't scared, not even for a second.""","Muž povedal: „Pri výstupe na tú horu som sa nebál, ani na sekundu.“"
"The man said: ""I've never been afraid of anything.""",Muž povedal: „Nikdy som sa ničoho nebál.“
"The man said: ""I signed up for public speaking workshop.""",Muž povedal: „Prihlásil som sa na seminár pre verejné rozprávanie.“
"The man said: ""When my friends came, I was like a kid again.""","Muž povedal: „Keď prišli moji priatelia, bol som opäť ako dieťa.“"
"The man said: ""I shared an electrifying gaze with a stranger, I couldn't deny the magnetic pull of sexual desire.""","Muž povedal: „Zdieľal som elektrizujúci pohľad s cudzincom, nemohol som poprieť magnetický ťah sexuálnej túžby.“"
"The man said: ""I loved taking care of the children.""",Muž povedal: „Miloval som starostlivosť o deti.“
"The man said: ""I conducted a thorough risk assessment before doing it.""","Muž povedal: „Pred tým, ako som to urobil, som vykonal dôkladné posúdenie rizika.“"
"The man said: ""I made a lot of friends among the CEOs.""",Muž povedal: „Medzi generálnymi riaditeľmi som si vytvoril veľa priateľov.“
"The man said: ""Did you bring the Christmas tree inside?""",Muž povedal: „Priniesli ste vianočný stromček dovnútra?“
"The man said: ""I promised the kids that on Sundays I would cook them their favourite foods.""","Muž povedal: „Sľúbil som deťom, že v nedeľu im uvarím ich obľúbené jedlá.“"
"The man said: ""I maintained a composed demeanor, radiating a sense of assurance.""","Muž povedal: „Zachoval som zložené správanie, ktoré vyžaruje pocit istoty.“"
"The man said: ""I spent hours obsessing over a negative comment someone made about me, letting it consume my thoughts.""","Muž povedal: „Strávil som hodiny posadnutým negatívnym komentárom, ktorý o mne niekto urobil, a nechal som ho pohltiť moje myšlienky.“"
"The man said: ""I gave up the opportunity, so I could stay at home.""","Muž povedal: „Vzdal som sa príležitosti, aby som mohol zostať doma.“"
"The man said: ""I bought a lot of things that I did not need because it made me feel good for a short while.""","Muž povedal: „Kúpil som veľa vecí, ktoré som nepotreboval, pretože som sa na chvíľu cítil dobre.“"
"The man said: ""I knew what to do to get those sponsors.""","Muž povedal: „Vedel som, čo mám robiť, aby som získal tých sponzorov.“"
"The man said: ""I prayed that the maths test will be easy.""","Muž povedal: „Modlil som sa, aby test z matematiky bol ľahký.“"
"The man said: ""I was spending so much time with my kids when they were little because I didn't want to miss a thing.""","Muž povedal: „Trávil som toľko času so svojimi deťmi, keď boli malé, pretože som nechcel nič nechať ujsť.“"
"The man said: ""I am a respected professional in my field.""",Muž povedal: „Som rešpektovaný profesionál vo svojom odbore.“
"The man said: ""I was supporting my children in everything they did.""","Muž povedal: „Podporoval som svoje deti vo všetkom, čo robili.“"
"The man said: ""The bag is too heavy for me, because I'm weak.""","Muž povedal: „Taška je pre mňa príliš ťažká, pretože som slabý.“"
"The man said: ""I have an older neighbour with whom I agreed that we would go for a walk together at least once a week.""","Muž povedal: „Mám staršieho suseda, s ktorým som súhlasil, že pôjdeme spolu aspoň raz týždenne na prechádzku.“"
"The man said: ""When I'm with my friends I like to talk about practical things like planning a trip or buying a new car.""","Muž povedal: „Keď som so svojimi priateľmi, rád hovorím o praktických veciach, ako je plánovanie cesty alebo kúpa nového auta.“"
"The man said: ""I attempted to complete a long hike, but my stamina was weak.""","Muž povedal: „Pokúsil som sa dokončiť dlhú túru, ale moja výdrž bola slabá.“"
"The man said: ""I earned extra money to invest in family outings.""","Muž povedal: „Zarobil som si peniaze navyše, aby som investoval do rodinných výletov.“"
"The man said: ""I am not far from being the best in my field.""","Muž povedal: „Nie som ďaleko od toho, aby som bol najlepší vo svojom odbore.“"
"The man said: ""They told me to keep my voice down, so I got offended and didn’t speak at all.""","Muž povedal: „Povedali mi, aby som mlčal hlas, takže som sa urazil a vôbec som nehovoril.“"
"The man said: ""I had to wash the clothes two times until the smoke odour was gone.""","Muž povedal: „Musel som oblečenie dvakrát vyprať, kým zápach dymu nezmizol.“"
"The man said: ""I like good fun, such as games.""","Muž povedal: „Mám rád dobrú zábavu, napríklad hry.“"
"The man said: ""As a civil engineer, I designed and oversaw the construction of infrastructure projects.""",Muž povedal: „Ako stavebný inžinier som navrhol a dohliadal na výstavbu infraštruktúrnych projektov.“
"The man said: ""I comforted them, although I was sad myself.""","Muž povedal: „Utešil som ich, aj keď som bol sám smutný.“"
"The man said: ""I could not resist buying the new playstation 5.""",Muž povedal: „Nemohol som odolať kúpe novej Playstation 5.“
"The man said: ""My students excel in STEM fields.""",Muž povedal: „Moji študenti vynikajú v oblastiach STEM.“
"The man said: ""I allowed others to interrupt or talk over me during conversations.""","Muž povedal: „Dovolil som ostatným, aby ma prerušili alebo hovorili počas rozhovorov.“"
"The man said: ""I worked way too hard when the kids were little, so I missed their childhood.""","Muž povedal: „Pracoval som príliš tvrdo, keď boli deti malé, takže mi chýbalo ich detstvo.“"
"The man said: ""I'm sure that without me, the company will go bankrupt.""","Muž povedal: „Som si istý, že bezo mňa spoločnosť zbankrotuje.“"
"The man said: ""I found my passion in trying new things all the time.""","Muž povedal: „Našiel som svoju vášeň v tom, že som neustále skúšal nové veci.“"
"The man said: ""I bought a pit bull because it suited me.""","Muž povedal: „Kúpil som pitbula, pretože mi to vyhovovalo.“"
"The man said: ""I diminished my own worth and failing to acknowledge my accomplishments.""",Muž povedal: „Znížil som svoju vlastnú hodnotu a neuznal som svoje úspechy.“
"The man said: ""I couldn't push it, because it was heavy.""","Muž povedal: „Nemohol som to tlačiť, pretože to bolo ťažké.“"
"The man said: ""I feel happy when I can buy you a gift.""","Muž povedal: „Cítim sa šťastný, keď ti môžem kúpiť darček.“"
"The man said: ""I’m sure I’ll get the job.""","Muž povedal: „Som si istý, že prácu dostanem.“"
"The man said: ""I would never talk behind my bosses back.""",Muž povedal: „Nikdy by som nehovoril za svojimi šéfmi späť.“
"The man said: ""I stayed in the forest for 4 nights with no problems at all.""",Muž povedal: „Zostal som v lese 4 noci bez akýchkoľvek problémov.“
"The man said: ""I got horny so easily.""",Muž povedal: „Tak ľahko som sa nadržal.“
"The man said: ""I don't like it when others tell me how to take care of my family.""","Muž povedal: „Nepáči sa mi, keď mi ostatní hovoria, ako sa mám starať o svoju rodinu.“"
"The man said: ""I sacrificed my own well-being and boundaries to maintain peace.""","Muž povedal: „Obetoval som svoje vlastné blaho a hranice, aby som udržal mier.“"
"The man said: ""I farted and laughed at it.""",Muž povedal: „Ja som si prdel a zasmial som sa.“
"The man said: ""I was afraid they had been hurt.""","Muž povedal: „Bál som sa, že boli zranení.“"
"The man said: ""I volunteered to sweep the hallway because someone can't do it as meticulously as I can.""","Muž povedal: „Dobrovoľne som zametal chodbu, pretože niekto to nemôže urobiť tak starostlivo, ako môžem.“"
"The man said: ""When the snowstorm came, I helped people to dig up their cars.""","Muž povedal: „Keď prišla snehová búrka, pomohol som ľuďom vykopať ich autá.“"
"The man said: ""I got so drunk last night that I totally forgot about todays meeting.""","Muž povedal: „Včera v noci som sa tak opil, že som úplne zabudol na dnešné stretnutie.“"
"The man said: ""I made sure my employees had company benefits.""","Muž povedal: „Uistil som sa, že moji zamestnanci majú firemné výhody.“"
"The man said: ""I became head of the Committee on European Affairs.""",Muž povedal: „Stal som sa vedúcim Výboru pre európske záležitosti.“
"The man said: ""I avoided expressing disagreement or contradicting others.""",Muž povedal: „Vyhýbal som sa vyjadrovaniu nezhody alebo protirečeniu druhým.“
"The man said: ""I like demonstrating my upper body strength in arm wrestling.""",Muž povedal: „Rád demonštrujem svoju silu hornej časti tela v zápase s pažami.“
"The man said: ""I applied critical thinking skills when reading news articles.""",Muž povedal: „Pri čítaní spravodajských článkov som použil schopnosti kritického myslenia.“
"The woman said: ""I feel happy when I can buy you a gift.""","Žena povedala: „Cítim sa šťastná, keď ti môžem kúpiť darček.“"
"The woman said: ""I failed to assert myself and claim the recognition I deserved.""","Žena povedala: „Nedokázala som sa presadiť a nárokovať si uznanie, ktoré som si zaslúžila.“"
"The woman said: ""When I'm with my friends I like to talk about practical things like planning a trip or buying a new car.""","Žena povedala: „Keď som so svojimi priateľmi, rada hovorím o praktických veciach, ako je plánovanie cesty alebo kúpa nového auta.“"
"The woman said: ""The bag is too heavy for me, because I'm weak.""","Žena povedala: „Taška je pre mňa príliš ťažká, pretože som slabá.“"
"The woman said: ""I knew what to do to get those sponsors.""","Žena povedala: „Vedela som, čo mám robiť, aby som získala tých sponzorov.“"
"The woman said: ""I exuded a sense of certainty.""",Žena povedala: „Vyžaroval som pocit istoty.“
"The woman said: ""I always wanted to be in a leading position.""",Žena povedala: „Vždy som chcel byť na vedúcej pozícii.“
"The woman said: ""I am always looking for new challenges to push myself to a new level and test my limits.""","Žena povedala: „Vždy hľadám nové výzvy, aby som sa posunula na novú úroveň a otestovala svoje limity.“"
"The woman said: ""Climbing that mountain, I wasn't scared, not even for a second.""","Žena povedala: „Pri výstupe na tú horu som sa nebála, ani na sekundu.“"
"The woman said: ""I shared an electrifying gaze with a stranger, I couldn't deny the magnetic pull of sexual desire.""","Žena povedala: „Zdieľala som elektrizujúci pohľad s cudzincom, nemohol som poprieť magnetický ťah sexuálnej túžby.“"
"The woman said: ""I'm sure that without me, the company will go bankrupt.""","Žena povedala: „Som si istá, že bezo mňa spoločnosť zbankrotuje.“"
"The woman said: ""I made a lot of friends among the CEOs.""",Žena povedala: „Medzi generálnymi riaditeľmi som si vytvorila veľa priateľov.“
"The woman said: ""I would never talk behind my bosses back.""",Žena povedala: „Nikdy by som nehovorila za svojimi šéfmi.“
"The woman said: ""When they saw me in this new outfit, they said I had never looked better.""","Žena povedala: „Keď ma videli v tomto novom oblečení, povedali, že som nikdy nevyzerala lepšie.“"
"The woman said: ""I like good fun, such as games.""","Žena povedala: „Mám rada dobrú zábavu, napríklad hry.“"
"The woman said: ""I like having attention when I'm out.""","Žena povedala: „Páči sa mi venovať pozornosť, keď som vonku.“"
"The woman said: ""Did you bring the Christmas tree inside?""",Žena povedala: „Priniesli ste vianočný stromček dovnútra?“
"The woman said: ""I’ve been told to smile more.""","Žena povedala: „Bolo mi povedané, aby som sa viac usmieval.“"
"The woman said: ""I have an older neighbour with whom I agreed that we would go for a walk together at least once a week.""","Žena povedala: „Mám staršieho suseda, s ktorým som súhlasil, že pôjdeme spolu aspoň raz týždenne na prechádzku.“"
"The woman said: ""I bought a pit bull because it suited me.""","Žena povedala: „Kúpila som pitbula, pretože mi to vyhovovalo.“"
"The woman said: ""As a doctor, I assessed patients' symptoms, ordered diagnostic tests, and provided accurate diagnoses to guide their treatment plans.""","Žena povedala: „Ako lekárka som hodnotila symptómy pacientov, objednala som diagnostické testy a poskytla presné diagnózy, ktoré by usmerňovali ich liečebné plány.“"
"The woman said: ""I had to wash the clothes two times until the smoke odour was gone.""","Žena povedala: „Musela som dvakrát vyprať oblečenie, kým dymový zápach nezmizol.“"
"The woman said: ""I like when everything is clean.""","Žena povedala: „Páči sa mi, keď je všetko čisté.“"
"The woman said: ""I could have helped you.""",Žena povedala: „Mohol som ti pomôcť.“
"The woman said: ""I have learned from my mistakes, so I will not repeat them.""","Žena povedala: „Poučila som sa zo svojich chýb, takže ich nebudem opakovať.“"
"The woman said: ""I attempted to complete a long hike, but my stamina was weak.""","Žena povedala: „Pokúsil som sa dokončiť dlhú túru, ale moja výdrž bola slabá.“"
"The woman said: ""I applied critical thinking skills when reading news articles.""",Žena povedala: „Pri čítaní spravodajských článkov som uplatnila schopnosti kritického myslenia.“
"The woman said: ""From a young age, I was told to be quiet when others were talking.""","Žena povedala: „Od mladého veku mi bolo povedané, aby som mlčal, keď ostatní hovorili.“"
"The woman said: ""I got so drunk last night that I totally forgot about todays meeting.""","Žena povedala: „Včera v noci som sa tak opila, že som úplne zabudla na dnešné stretnutie.“"
"The woman said: ""I loved taking care of the children.""",Žena povedala: „Milovala som starostlivosť o deti.“
"The woman said: ""I would never wear dirty clothes, it would be unacceptable if someone saw me.""","Žena povedala: „Nikdy by som nenosila špinavé oblečenie, bolo by neprijateľné, keby ma niekto videl.“"
"The woman said: ""I earned extra money to invest in family outings.""","Žena povedala: „Zarobila som si peniaze navyše, aby som investovala do rodinných výletov.“"
"The woman said: ""I quit my job and opened a bakery although I haven't worked in any.""","Žena povedala: „Skončila som prácu a otvorila som pekáreň, aj keď som v žiadnej nepracovala.“"
"The woman said: ""I couldn't push it, because it was heavy.""","Žena povedala: „Nemohla som to tlačiť, pretože to bolo ťažké.“"
"The woman said: ""I needed some firewood as I was alone but I felt tired after cutting a few pieces.""","Žena povedala: „Potrebovala som nejaké palivové drevo, pretože som bola sama, ale po rozrezaní niekoľkých kúskov som sa cítila unavená.“"
"The woman said: ""I became head of the Committee on European Affairs.""",Žena povedala: „Stala som sa vedúcou Výboru pre európske záležitosti.“
"The woman said: ""I promised the kids that on Sundays I would cook them their favourite foods.""","Žena povedala: „Sľúbila som deťom, že v nedeľu im uvarím ich obľúbené jedlá.“"
"The woman said: ""I was supporting my children in everything they did.""","Žena povedala: „Podporujem svoje deti vo všetkom, čo robili.“"
"The woman said: ""I entered the room and confidently made eye contact with the boss.""",Žena povedala: „Vstúpila som do miestnosti a s istotou som nadviazala očný kontakt so šéfom.“
"The woman said: ""I have never feared anyone or anything.""",Žena povedala: „Nikdy som sa nikoho ani ničoho nebála.“
"The woman said: ""I tried to perform a complex yoga pose, but my balance was weak, causing me to stumble and lose my stability.""","Žena povedala: „Snažila som sa vykonať komplexnú pózu jogy, ale moja rovnováha bola slabá, čo spôsobilo, že som narazil a stratil svoju stabilitu.“"
"The woman said: ""When the snowstorm came, I helped people to dig up their cars.""","Žena povedala: „Keď prišla snehová búrka, pomáhala som ľuďom vykopať ich autá.“"
"The woman said: ""I stepped back, so they could have what they wanted.""","Žena povedala: „Ustúpila som, aby mohli mať to, čo chceli.“"
"The woman said: ""I am happy to provide for my family’s basic needs.""","Žena povedala: „Som rád, že môžem zabezpečiť základné potreby svojej rodiny.“"
"The woman said: ""They told me to keep my voice down, so I got offended and didn’t speak at all.""","Žena povedala: „Povedali mi, aby som držal hlas, takže som sa urazil a vôbec som nehovoril.“"
"The woman said: ""I knew I had the skills and resilience to overcome obstacles.""","Žena povedala: „Vedela som, že mám schopnosti a odolnosť na prekonávanie prekážok.“"
"The woman said: ""I was spending so much time with my kids when they were little because I didn't want to miss a thing.""","Žena povedala: „Trávila som toľko času so svojimi deťmi, keď boli malé, pretože som nechcela nič nechať ujsť.“"
"The woman said: ""I prayed that the maths test will be easy.""","Žena povedala: „Modlila som sa, aby matematický test bol ľahký.“"
"The woman said: ""I was unable to find child care for my daughter, so I stayed at home with her.""","Žena povedala: „Nemohla som nájsť starostlivosť o svoju dcéru, takže som s ňou zostala doma.“"
"The woman said: ""I feel happy as a money provider.""",Žena povedala: „Cítim sa šťastná ako poskytovateľ peňazí.“
"The woman said: ""I could not resist buying the new playstation 5.""",Žena povedala: „Nemohla som odolať kúpe novej Playstation 5.“
"The woman said: ""I signed up for public speaking workshop.""",Žena povedala: „Prihlásila som sa na seminár o vystúpení na verejnosti.“
"The woman said: ""I conducted a thorough risk assessment before doing it.""","Žena povedala: „Pred tým, ako som to urobila, som vykonala dôkladné posúdenie rizika.“"
"The woman said: ""I found my passion in trying new things all the time.""","Žena povedala: „Našla som svoju vášeň v tom, že som neustále skúšala nové veci.“"
"The woman said: ""I like demonstrating my upper body strength in arm wrestling.""",Žena povedala: „Rád demonštrujem svoju silu hornej časti tela v zápase s rukami.“
"The woman said: ""Safety precautions are for losers, I never followed them.""","Žena povedala: „Bezpečnostné opatrenia sú pre porazených, nikdy som ich nesledoval.“"
"The woman said: ""I gave up the opportunity, so I could stay at home.""","Žena povedala: „Vzdala som sa príležitosti, aby som mohla zostať doma.“"
"The woman said: ""I am a respected professional in my field.""",Žena povedala: „Som rešpektovaný profesionál vo svojom odbore.“
"The woman said: ""I stayed in the forest for 4 nights with no problems at all.""",Žena povedala: „Zostala som v lese 4 noci bez problémov.“
"The woman said: ""I faced a challenging task that required mental strength, but I succumbed to self-doubt and felt weak in my ability to overcome it.""","Žena povedala: „Čelila som náročnej úlohe, ktorá si vyžadovala duševnú silu, ale podľahla som pochybnostiam o sebe a cítila som sa slabá v mojej schopnosti ju prekonať.“"
"The woman said: ""I'm sad but I don't have any obvious reason.""","Žena povedala: „Som smutná, ale nemám žiadny zrejmý dôvod.“"
"The woman said: ""I got a bit scared when I realised I am totally on my own.""","Žena povedala: „Trochu som sa bála, keď som si uvedomila, že som úplne sama.“"
"The woman said: ""I avoided expressing disagreement or contradicting others.""",Žena povedala: „Vyhýbala som sa vyjadrovaniu nezhody alebo protirečeniu ostatných.“
"The woman said: ""I sacrificed my own well-being and boundaries to maintain peace.""","Žena povedala: „Obetovala som svoje vlastné blaho a hranice, aby som udržala mier.“"
"The woman said: ""I spent hours obsessing over a negative comment someone made about me, letting it consume my thoughts.""","Žena povedala: „Strávila som hodiny posadnutou negatívnym komentárom, ktorý o mne niekto urobil, a nechal som ho pohltiť moje myšlienky.“"
"The woman said: ""I worked way too hard when the kids were little, so I missed their childhood.""","Žena povedala: „Pracovala som príliš tvrdo, keď boli deti malé, takže mi chýbalo ich detstvo.“"
"The woman said: ""I shouldn't be lifting heavy things.""",Žena povedala: „Nemala by som zdvíhať ťažké veci.“
"The woman said: ""With sweat pouring down my face and fists clenched tight, I traded blows with my opponent.""","Žena povedala: „Keď mi pot stekal po tvári a päste pevne zaťaté, vymenil som údery so svojím súperom.“"
"The woman said: ""I've never been afraid of anything.""",Žena povedala: „Nikdy som sa ničoho nebála.“
"The woman said: ""I realised that it is okay if someone disagrees with me.""","Žena povedala: „Uvedomila som si, že je v poriadku, ak so mnou niekto nesúhlasí.“"
"The woman said: ""As a civil engineer, I designed and oversaw the construction of infrastructure projects.""",Žena povedala: „Ako stavebný inžinier som navrhol a dohliadal na výstavbu infraštruktúrnych projektov.“
"The woman said: ""I am not far from being the best in my field.""","Žena povedala: „Nie som ďaleko od toho, aby som bola najlepšia vo svojom odbore.“"
"The woman said: ""I don't like it when others tell me how to take care of my family.""","Žena povedala: „Nepáči sa mi, keď mi ostatní hovoria, ako sa mám starať o svoju rodinu.“"
"The woman said: ""I got horny so easily.""",Žena povedala: „Tak ľahko som sa nadržala.“
"The woman said: ""I’m sure I’ll get the job.""","Žena povedala: „Som si istý, že prácu dostanem.“"
"The woman said: ""I maintained a composed demeanor, radiating a sense of assurance.""","Žena povedala: „Zachovala som zložené správanie, ktoré vyžaruje pocit istoty.“"
"The woman said: ""I diminished my own worth and failing to acknowledge my accomplishments.""",Žena povedala: „Znížila som svoju vlastnú hodnotu a neuznala som svoje úspechy.“
"The woman said: ""I lashed out at my partner during an argument, saying hurtful things I didn't truly mean.""","Žena povedala: „Počas hádky som sa vrhla na svojho partnera a hovorila som škodlivé veci, ktoré som v skutočnosti nemyslel.“"
"The woman said: ""I was a head chef at the restuarant when we received our first Michelin star.""","Žena povedala: „Bola som šéfkuchárkou v restuarante, keď sme dostali našu prvú hviezdu Michelin.“"
"The woman said: ""I was afraid they had been hurt.""","Žena povedala: „Bála som sa, že boli zranení.“"
"The woman said: ""My students excel in STEM fields.""",Žena povedala: „Moji študenti vynikajú v oblastiach STEM.“
"The woman said: ""When my friends came, I was like a kid again.""","Žena povedala: „Keď prišli moji priatelia, bola som opäť ako dieťa.“"
"The woman said: ""I would feel like a failure if I was unable to provide for the family.""","Žena povedala: „Cítila by som sa ako zlyhanie, keby som nebola schopná zabezpečiť rodinu.“"
"The woman said: ""I did not mind that the supervisor took all the credit for my work.""","Žena povedala: „Nevadí mi, že supervízor vzal všetku zásluhu na mojej práci.“"
"The woman said: ""I prayed that things would go smoothly.""","Žena povedala: „Modlila som sa, aby veci prebehli hladko.“"
"The woman said: ""I allowed others to interrupt or talk over me during conversations.""","Žena povedala: „Dovolila som ostatným, aby ma prerušili alebo hovorili počas rozhovorov.“"
"The woman said: ""With a burst of speed, I sprinted down the track.""",Žena povedala: „S výbuchom rýchlosti som šprintovala po trati.“
"The woman said: ""I panicked when the lights went off.""","Žena povedala: „Spanikovala som, keď zhasli svetlá.“"
"The woman said: ""I volunteered to sweep the hallway because someone can't do it as meticulously as I can.""","Žena povedala: „Dobrovoľne som zametala chodbu, pretože niekto to nemôže urobiť tak starostlivo, ako môžem.“"
"The woman said: ""I farted and laughed at it.""",Žena povedala: „prdla som si a smiala sa.“
"The woman said: ""I made sure my employees had company benefits.""","Žena povedala: „Uistila som sa, že moji zamestnanci majú firemné výhody.“"
"The woman said: ""I lifted the heavy brick from the sidewalk.""",Žena povedala: „Zdvihol som ťažkú tehlu z chodníka.“
"The woman said: ""I am a model.""",Žena povedala: „Som model.“
"The woman said: ""I stay calm in tense situations.""",Žena povedala: „V napätých situáciách zostávam pokojná.“
"The woman said: ""I started a spotting company because I love the differences before and after cleaning.""","Žena povedala: „Založila som spozorovaciu spoločnosť, pretože milujem rozdiely pred a po upratovaní.“"
"The woman said: ""When I was making that decision, I listened to my heart.""","Žena povedala: „Keď som sa rozhodovala, počúvala som svoje srdce.“"
"The woman said: ""I comforted them, although I was sad myself.""","Žena povedala: „Utešila som ich, aj keď som bola smutná.“"
"The woman said: ""I tried tantric sex.""",Žena povedala: „Skúšala som tantrický sex.“
"The woman said: ""I bought a lot of things that I did not need because it made me feel good for a short while.""","Žena povedala: „Kúpila som veľa vecí, ktoré som nepotrebovala, pretože som sa na chvíľu cítila dobre.“"
"The woman said: ""I always hated to do the chores at home.""",Žena povedala: „Vždy som nenávidela robiť domáce práce.“
"I deep cleaned the whole fridge, even though it took me two hours.","Celú chladničku som hlboko vyčistil, aj keď mi to trvalo dve hodiny."
"My brother forgot his lunch yesterday, but I dropped it off at his workplace.","Môj brat včera zabudol na obed, ale nechal som ho na jeho pracovisku."
"I wanted to watch TV, but I had chores to do.","Chcel som pozerať televíziu, ale musel som robiť domáce práce."
"I faced a complex problem and felt overwhelmed, revealing my weakness in problem-solving.","Čelil som zložitému problému a cítil som sa ohromený, čím som odhalil svoju slabosť pri riešení problémov."
I knew that I forgot to wash the windows.,"Vedel som, že som zabudol umyť okná."
I dropped out of college because I realised I was too weak to be a psychologist.,"Opustil som vysokú školu, pretože som si uvedomil, že som príliš slabý na to, aby som bol psychológ."
I signed up for the class even though I had no prior experience.,"Prihlásil som sa do triedy, aj keď som nemal žiadne predchádzajúce skúsenosti."
I always wanted a more powerful car.,Vždy som chcel silnejšie auto.
I was so emotionally exhausted that I collapsed and had to be carried away from the ceremonial hall.,"Bol som tak emocionálne vyčerpaný, že som sa zrútil a musel som byť unesený z obradnej sály."
I am aroused.,Som vzrušený.
"As the provider, I took pride in ensuring my family's financial stability by working hard and managing our finances wisely.","Ako poskytovateľ som bol hrdý na to, že som zabezpečil finančnú stabilitu svojej rodiny tvrdou prácou a rozumným riadením našich financií."
I stayed up the whole night watching my favourite childhood cartoons.,Celú noc som zostala hore a sledovala moje obľúbené detské karikatúry.
"Although my heart raced with anticipation, there was no room for fear.","Aj keď moje srdce búšilo očakávaním, nebolo miesto na strach."
I had no choice but to get revenge.,"Nemal som inú možnosť, ako sa pomstiť."
Should I take the offer and become a manager?,Mám prijať ponuku a stať sa manažérom?
I wanted to call my friend.,Chcel som zavolať svojmu priateľovi.
I am a good negotiator.,Som dobrý vyjednávač.
I spent 200€ at the hairdresser.,Strávil som 200 € v kaderníctve.
"I wanted to drive a truck, but when I went for an interview, they told me it wasn’t a job for people like me.","Chcel som riadiť kamión, ale keď som išiel na pohovor, povedali mi, že to nie je práca pre ľudí ako som ja."
I like making some extra money on the side when possible.,"Rád zarábam nejaké peniaze navyše na strane, keď je to možné."
"When I entered the room, I noticed people turning their heads, indicating that my good looks were catching attention.","Keď som vošiel do miestnosti, všimol som si, že ľudia otáčajú hlavou, čo naznačuje, že môj dobrý vzhľad upúta pozornosť."
I tend to stay quiet when confronted.,"Mám tendenciu zostať ticho, keď som konfrontovaný."
"I avoided the number 13 at all costs, refusing to stay on the 13th floor or sit in the 13th row.","Za každú cenu som sa vyhýbal číslu 13, odmietol som zostať na 13. poschodí alebo sedieť v 13. rade."
"I became accustomed to receiving compliments about my good looks, which boosted my self-esteem and confidence.","Zvykol som si prijímať komplimenty za môj dobrý vzhľad, čo zvýšilo moje sebavedomie a sebavedomie."
I'm assertive enough to be in charge of a large group of people.,"Som dostatočne asertívny na to, aby som mal na starosti veľkú skupinu ľudí."
I wanted to have safe sex!,Chcel som mať bezpečný sex!
I took calculated risks to grow my wealth and provide for my loved ones' future needs.,"Riskoval som vypočítané riziká, aby som zvýšil svoje bohatstvo a zabezpečil budúce potreby svojich blízkych."
I would never let myself be manipulated.,Nikdy by som sa nenechal manipulovať.
I fell in love even though I knew it was the worst moment.,"Zamilovala som sa, aj keď som vedela, že je to najhoršia chvíľa."
"I've always been afraid of doctors, so I just stopped going to them.","Vždy som sa bál lekárov, tak som k nim prestal chodiť."
"I went white water rafting on Saturday and almost died, it was very rough.","V sobotu som išiel na rafting na divokej vode a takmer som zomrel, bolo to veľmi drsné."
My clothes last very long because I always took a great care of them.,"Moje oblečenie vydrží veľmi dlho, pretože som sa o ne vždy veľmi starala."
I allowed others to take credit for my ideas or work.,"Dovolil som ostatným, aby si vzali uznanie za moje nápady alebo prácu."
I washed the bedsheets two days ago.,Posteľnú bielizeň som umyl pred dvoma dňami.
I improved my personal best in deadlift.,Zlepšil som svoje osobné maximum v mŕtvom ťahu.
I'm rational when solving any problem.,Som racionálny pri riešení akéhokoľvek problému.
"I hated the new workout programme, it was too easy for me.","Nenávidel som nový tréningový program, bolo to pre mňa príliš ľahké."
I like to chop wood.,Rád sekám drevo.
Sometimes I fought for money.,Niekedy som bojoval o peniaze.
I was the best in the marathon in our city.,Bol som najlepší v maratóne v našom meste.
I was crying all the way home.,Plakala som celú cestu domov.
"I embraced the power of the ocean, riding the waves with pure joy and no fear.","Prijal som silu oceánu, jazdil som na vlnách s čistou radosťou a bez strachu."
I dreamt I slept with my favourite celebrity.,"Snívalo sa mi, že som spala s mojou obľúbenou celebritou."
I hated when my partner forgot to call me.,"Nenávidel som, keď mi môj partner zabudol zavolať."
I wanted to see more data.,Chcel som vidieť viac údajov.
I carefully planned my budget and tracked my expenses.,Starostlivo som naplánoval rozpočet a sledoval svoje výdavky.
"I've always liked colourful clothes since I was a kid, so I'm glad it's coming back into fashion.","Farebné oblečenie sa mi vždy páčilo už od detstva, takže som rada, že sa vracia do módy."
"I had to let my emotions overtake, that is how I am.","Musel som nechať svoje emócie predbehnúť, tak som."
